爱情,ài qíng,"romance; love (romantic); CL:个",愛情,oi3 ching4,oi3 cing4,oi chìhng,4
安排,ān pái,"to arrange; to plan; to set up",安排,on1 paai4,on1 paai4,ōn pàaih,4
安全,ān quán,"safe; secure; safety; security",安全,on1 chyun4,on1 cyun4,ōn chyùhn,4
按时,àn shí,"on time; before deadline; on schedule",按時,on3 si4,on3 si4,on sìh,4
按照,àn zhào,"according to; in accordance with; in the light of; on the basis of",按照,on3 jiu3,on3 ziu3,on jiu,4
百分之,bǎi fēn zhī,"percent;",百分之,baak3 fan6 ji1,baak3 fan6 zi1,baak fahn jī,4
棒,bàng,"a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race",棒,paang5,paang5,páahng,4
包子,bāo zi,"steamed stuffed bun; CL:个",包子,baau1 ji2,baau1 zi2,bāau jí,4
保护,bǎo hù,"to protect; to defend; to safeguard; protection; CL:种[zhong3]",保護,bou2 wu6,bou2 wu6,bóu wuh,4
保证,bǎo zhèng,"guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:个",保證,bou2 jing3,bou2 zing3,bóu jing,4
报名,bào míng,"to sign up; to enter one's name; to apply; to register; to enroll; to enlist",報名,bou3 meng2,bou3 meng2,bou méng,4
抱,bào,"to hold; to carry (in one's arms); to hug or embrace; surround; cherish",抱,pou5,pou5,póuh,4
抱歉,bào qiàn,"sorry; We apologize!; to feel apologetic; to regret",抱歉,pou5 hip3,pou5 hip3,póuh hip,4
倍,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",倍,pui5,pui5,púih,4
本来,běn lái,"original; originally; at first; it goes without saying; of course",本來,bun2 loi4,bun2 loi4,bún lòih,4
笨,bèn,"stupid; foolish; silly; slow-witted; clumsy",笨,ban6,ban6,bahn,4
比如,bǐ rú,"for example; for instance; such as",比如,bei2 yu4,bei2 jyu4,béi yùh,4
毕业,bì yè,"to graduate; graduation; to finish school",畢業,bat1 yip6,bat1 jip6,bāt yihp,4
遍,biàn,"a time; everywhere; turn; all over; one time",遍,pin3,pin3,pin,4
标准,biāo zhǔn,"(an official) standard; norm; criterion; CL:个",標准,biu1 jeun2,biu1 zeon2,bīu jéun,4
表格,biǎo gé,"form; table; CL:张[zhang1] ,份[fen4]",表格,biu2 gaak3,biu2 gaak3,bíu gaak,4
表示,biǎo shì,"to express; to show; to say; to state; to indicate; to mean",表示,biu2 si6,biu2 si6,bíu sih,4
表演,biǎo yǎn,"play; show; performance; exhibition; to perform; to act; to demonstrate; CL:场[chang3]",表演,biu2 yin2,biu2 jin2,bíu yín,4
表扬,biǎo yáng,"to praise; to commend",表揚,biu2 yeung4,biu2 joeng4,bíu yèuhng,4
饼干,bǐng gān,"biscuit; cracker; cookie; CL:片[pian4] ,块[kuai4]",餅幹,beng2 gon3,beng2 gon3,béng gon,4
并且,bìng qiě,"moreover; furthermore; in addition; besides; and",並且,bing6 che2,bing6 ce2,bihng ché,4
博士,bó shì,"doctor; court academician (in feudal China); Ph.D.",博士,bok3 si6,bok3 si6,bok sih,4
不过,bú guò,"only; merely; no more than; but; however; anyway (to get back to a previous topic)",不過,bat1 gwo3,bat1 gwo3,bāt gwo,4
不得不,bù dé bù,"have no choice or option but to; cannot but; have to; can't help it; can't avoid",不得不,bat1 dak1 bat1,bat1 dak1 bat1,bāt dāk bāt,4
不管,bù guǎn,"no matter (what, how); regardless of; no matter",不管,bat1 gun2,bat1 gun2,bāt gún,4
不仅,bù jǐn,"not only (this one); not just (...) but also",不僅,bat1 gan2,bat1 gan2,bāt gán,4
部分,bù fen,"part; share; section; piece; CL:个",部分,bou6 fan6,bou6 fan6,bouh fahn,4
擦,cā,"to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish",擦,chaat3,caat3,chaat,4
猜,cāi,"to guess",猜,chaai1,caai1,chāai,4
材料,cái liào,"material; data; makings; stuff; CL:个,种[zhong3]",材料,choi4 liu2,coi4 liu2,chòih líu,4
参观,cān guān,"to look around; to inspect; visit and observe",參觀,chaam1 gun1,caam1 gun1,chāam gūn,4
餐厅,cān tīng,"dining-hall; dining-room; restaurant; CL:间[jian1] ,家[jia1]",餐廳,chaan1 teng1,caan1 teng1,chāan tēng,4
厕所,cè suǒ,"toilet; lavatory; CL:间[jian1] ,处[chu4]",廁所,chi3 so2,ci3 so2,chi só,4
差不多,chà bu duō,"almost; nearly; more or less",差不多,cha1 bat1 do1,caa1 bat1 do1,chā bāt dō,4
尝,cháng,"to try (to taste); to experience; flavor; (past tense marker); already; formerly; ever; once; test",嘗,seung4,soeng4,sèuhng,4
长城,cháng chéng,"the Great Wall",長城,cheung4 sing4,coeng4 sing4,chèuhng sìhng,4
长江,cháng jiāng,"Changjiang river; Yangtze river",長江,cheung4 gong1,coeng4 gong1,chèuhng gōng,4
场,chǎng,"large place used for a specific purpose; stage; scene (of a play); threshing floor; classifier for sporting or recreational activities; classifier for number of exams",場,cheung4,coeng4,chèuhng,4
超过,chāo guò,"to surpass; to exceed; to outstrip",超過,chiu1 gwo3,ciu1 gwo3,chīu gwo,4
乘坐,chéng zuò,"to ride (in a vehicle)",乘坐,sing4 cho5,sing4 co5,sìhng chóh,4
成功,chéng gōng,"success; to succeed; CL:次[ci4] ,个",成功,sing4 gung1,sing4 gung1,sìhng gūng,4
成为,chéng wéi,"to become; to turn into",成為,sing4 wai4,sing4 wai4,sìhng wàih,4
诚实,chéng shí,"honest; honesty; honorable; truthful",誠實,sing4 sat6,sing4 sat6,sìhng saht,4
吃惊,chī jīng,"to be startled; to be shocked; to be amazed",吃驚,hek3 ging1,hek3 ging1,hek gīng,4
重新,chóng xīn,"again; once more; re-",重新,chung4 san1,cung4 san1,chùhng sān,4
抽烟,chōu yān,"to smoke (a cigarette, tobacco)",抽煙,chau1 yin1,cau1 jin1,chāu yīn,4
出差,chū chāi,"to go on an official or business trip",出差,cheut1 chaai1,ceot1 caai1,chēut chāai,4
出发,chū fā,"to start out; to set off",出發,cheut1 faat3,ceot1 faat3,chēut faat,4
出生,chū shēng,"to be born",出生,cheut1 sang1,ceot1 sang1,chēut sāng,4
出现,chū xiàn,"to appear; to arise; to emerge; to show up",出現,cheut1 yin6,ceot1 jin6,chēut yihn,4
厨房,chú fáng,"kitchen; CL:间[jian1]",廚房,chyu4 fong2,cyu4 fong2,chyùh fóng,4
传真,chuán zhēn,"fax; facsimile",傳真,chyun4 jan1,cyun4 zan1,chyùhn jān,4
窗户,chuāng hu,"window; CL:个,扇[shan4]",窗戶,cheung1 wu6,coeng1 wu6,chēung wuh,4
词语,cí yǔ,"word (general term including monosyllables through to short phrases); term (e.g. technical term); expression",詞語,chi4 yu5,ci4 jyu5,chìh yúh,4
从来,cóng lái,"always; at all times; never (if used in negative sentence)",從來,chung4 loi4,cung4 loi4,chùhng lòih,4
粗心,cū xīn,"careless; thoughtless",粗心,chou1 sam1,cou1 sam1,chōu sām,4
存,cún,"exist; deposit; store; keep; survive",存,chyun4,cyun4,chyùhn,4
错误,cuò wù,"error; mistake; mistaken; CL:个",錯誤,cho3 ng6,co3 ng6,cho ngh,4
答案,dá àn,"answer; solution; CL:个",答案,daap3 on3,daap3 on3,daap on,4
打扮,dǎ ban,"to decorate; to dress; to make up; to adorn; manner of dressing; style of dress",打扮,da2 baan6,daa2 baan6,dá baahn,4
打扰,dǎ rǎo,"to disturb; to bother; to trouble",打擾,da2 yiu2,daa2 jiu2,dá yíu,4
打印,dǎ yìn,"to print; to seal; to stamp",打印,da2 yan3,daa2 jan3,dá yan,4
打招呼,dǎ zhāo hu,"to greet sb by word or action; to give prior notice",打招呼,da2 jiu1 fu1,daa2 ziu1 fu1,dá jīu fū,4
打折,dǎ zhé,"to give a discount",打折,da2 jit3,daa2 zit3,dá jit,4
打针,dǎ zhēn,"to give or have an injection",打針,da2 jam1,daa2 zam1,dá jām,4
大概,dà gài,"roughly; probably; rough; approximate; about",大概,daai6 koi3,daai6 koi3,daaih koi,4
大使馆,dà shǐ guǎn,"embassy; CL:座[zuo4] ,个",大使館,daai6 si3 gun2,daai6 si3 gun2,daaih si gún,4
大约,dà yuē,"approximately; about",大約,daai6 yeuk3,daai6 joek3,daaih yeuk,4
大夫,dài fu,"doctor; minister of state (in pre-Han states); CL:个,位[wei4]",大夫,daai6 fu1,daai6 fu1,daaih fū,4
戴,dài,"to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support",戴,daai3,daai3,daai,4
当,dāng,"to be; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at",當,dong1/dong3,dong1/dong3,dōng/dong,4
当时,dāng shí,"then; at that time; while",當時,dong1 si4,dong1 si4,dōng sìh,4
刀,dāo,"knife; CL:把[ba3]",刀,dou1,dou1,dōu,4
导游,dǎo yóu,"tour guide; to conduct a tour; a guidebook",導遊,dou6 yau4,dou6 jau4,douh yàuh,4
倒,dào,"to move backwards; converse",倒,dou2,dou2,dóu,4
到处,dào chù,"in all places; everywhere",到處,dou3 chyu3,dou3 cyu3,dou chyu,4
到底,dào dǐ,"finally; in the end; when all is said and done; after all; to the end; to the last",到底,dou3 dai2,dou3 dai2,dou dái,4
道歉,dào qiàn,"to apologize; to make an apology",道歉,dou6 hip3,dou6 hip3,douh hip,4
得,dé,"to have to, to need to (particle used to express capability, possibility, degree, effect...); must; ought to; to need to",得,dak1,dak1,dāk,4
得意,dé yì,"proud of oneself; pleased with oneself; complacent",得意,dak1 yi3,dak1 ji3,dāk yi,4
登机牌,dēng jī pái,"boarding pass",登機牌,dang1 gei1 paai4,dang1 gei1 paai4,dāng gēi pàaih,4
等,děng,"etc (indicating the end of an enumeration)",等,dang2,dang2,dáng,4
低,dī,"low; beneath; to lower (one's head); to let droop; to hang down; to incline",低,dai1,dai1,dāi,4
底,dǐ,"background; bottom; base; the end of a period of time; towards the end of (last month)",底,dai2,dai2,dái,4
地点,dì diǎn,"place; site; location; venue; CL:個|个[ge4];",地點,dei6 dim2,dei6 dim2,deih dím,4
地球,dì qiú,"the Earth; planet; CL:个",地球,dei6 kau4,dei6 kau4,deih kàuh,4
地址,dì zhǐ,"address; CL:个",地址,dei6 ji2,dei6 zi2,deih jí,4
掉,diào,"to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair)",掉,diu6,diu6,diuh,4
调查,diào chá,"investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:项[xiang4] ,个",調查,diu6 cha4,diu6 caa4,diuh chàh,4
丢,diū,"to lose; to put aside; to throw",丟,diu1,diu1,dīu,4
