爱,ài,"to love; affection; to be fond of; to like",愛,oi3,oi3,oi,1
八,bā,"eight; 8",八,baat3,baat3,baat,1
爸爸,bà ba,"father (informal); CL:个[ge4] ,位[wei4]",爸爸,ba4 ba1,baa4 baa1,bàh bā,1
杯子,bēi zi,"cup; glass; CL:个[ge4] ,支[zhi1]",杯子,bui1 ji2,bui1 zi2,būi jí,1
北京,běi jīng,"Beijing; capital of People's Republic of China; Peking; PRC government",北京,bak1 ging1,bak1 ging1,bāk gīng,1
本,běn,"origin; source; roots or stems of plants; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally",本,bun2,bun2,bún,1
不客气,bú kè qi,"you're welcome; it's my pleasure (answer to someone who thanks)",不客氣,bat1 haak3 hei3,bat1 haak3 hei3,bāt haak hei,1
不,bù,"not (negative prefix); no",不,bat1,bat1,bāt,1
菜,cài,"dish (type of food); vegetables; vegetable; cuisine; CL:盘[pan2] ,道[dao4]",菜,choi3,coi3,choi,1
茶,chá,"tea; tea plant; CL:杯[bei1] ,壶[hu2]",茶,cha4,caa4,chàh,1
吃,chī,"to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust",吃,hek3,hek3,hek,1
出租车,chū zū chē,"taxi",出租車,cheut1 jou1 che1,ceot1 zou1 ce1,chēut jōu chē,1
打电话,dǎ diàn huà,"to make a phone call",打電話,da2 din6 wa2,daa2 din6 waa2,dá dihn wá,1
大,dà,"big; huge; large; major; great; wide; deep; oldest; eldest",大,daai6,daai6,daaih,1
的,de,"of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive",的,dik1,dik1,dīk,1
点,diǎn,"a little; a bit; drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities",點,dim2,dim2,dím,1
电脑,diàn nǎo,"computer; CL:台[tai2]",電腦,din6 nou5,din6 nou5,dihn nóuh,1
电视,diàn shì,"television; TV; CL:台[tai2] ,个[ge4]",電視,din6 si6,din6 si6,dihn sih,1
电影,diàn yǐng,"movie; film; CL:部[bu4] ,幕[mu4] ,场[chang3]",電影,din6 ying2,din6 jing2,dihn yíng,1
东西,dōng xi,"thing; stuff; person; CL:个[ge4] ,件[jian4]",東西,dung1 sai1,dung1 sai1,dūng sāi,1
都,dōu,"all, both; entirely (due to) each; even; already",都,dou1,dou1,dōu,1
读,dú,"to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]",讀,duk6,duk6,duhk,1
对不起,duì bu qǐ,"I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat); unworthy; to let down;",對不起,deui3 bat1 hei2,deoi3 bat1 hei2,deui bāt héi,1
多,duō,"many; much; a lot of; numerous; multi-",多,do1,do1,dō,1
多少,duō shǎo,"how much; how many",多少,do1 siu2,do1 siu2,dō síu,1
儿子,ér zi,"son",兒子,yi4 ji2,ji4 zi2,yìh jí,1
二,èr,"two; 2; stupid (Beijing dialect)",二,yi6,ji6,yih,1
饭店,fàn diàn,"restaurant; hotel; CL:家[jia1],個|个[ge4];",飯店,faan6 dim3,faan6 dim3,faahn dim,1
